io.github.adnanomerovic:toaster-example-library;io.github.adnanomerovic;toaster-example-library
com.pettyfox:java-suit-comms;com.pettyfox;java-suit-comms
com.aliyun:oms20160615;com.aliyun;oms20160615
com.github.clarkstore:os-alirocketmq-spring-boot-starter;com.github.clarkstore;os-alirocketmq-spring-boot-starter
com.github.clarkstore:os-alisms-spring-boot-starter;com.github.clarkstore;os-alisms-spring-boot-starter
io.github.exciter-z:mentosweb;io.github.exciter-z;mentosweb
com.github.davidmoten:jax-maven-plugin-parent;com.github.davidmoten;jax-maven-plugin-parent
com.github.davidmoten:jax-maven-plugin-core;com.github.davidmoten;jax-maven-plugin-core
com.github.davidmoten:jax-maven-plugin-test-jaxb;com.github.davidmoten;jax-maven-plugin-test-jaxb
com.github.davidmoten:jax-maven-plugin-test;com.github.davidmoten;jax-maven-plugin-test
com.github.davidmoten:jax-maven-plugin;com.github.davidmoten;jax-maven-plugin
io.cvbio:io.cvbio.collection.mutable.bimap_2.13;io.cvbio;io.cvbio.collection.mutable.bimap_2.13
dev.shreyaspatil.autodemolib:autodemolib;dev.shreyaspatil.autodemolib;autodemolib
com.github.xuwei-k:msgpack4z-argonaut_native0.4_2.12;com.github.xuwei-k;msgpack4z-argonaut_native0.4_2.12
com.github.xuwei-k:msgpack4z-argonaut_native0.4_2.13;com.github.xuwei-k;msgpack4z-argonaut_native0.4_2.13
com.github.xuwei-k:msgpack4z-argonaut_native0.4_3;com.github.xuwei-k;msgpack4z-argonaut_native0.4_3
com.oneapm.agent.android:oneapm-android-agent;com.oneapm.agent.android;oneapm-android-agent
com.oneapm.agent.android:rewriter;com.oneapm.agent.android;rewriter
com.oneapm.agent.android:plugin-gradle;com.oneapm.agent.android;plugin-gradle
com.oneapm.agent.android:agent;com.oneapm.agent.android;agent
org.webjars.npm:dexie;org.webjars.npm;dexie
io.github.biuabiu:executor-group;io.github.biuabiu;executor-group
uk.co.slimjimsoftware:pty4j;uk.co.slimjimsoftware;pty4j
io.github.piszmog:cloud-config-client;io.github.piszmog;cloud-config-client
com.woaizhuangbi:recyclerutils;com.woaizhuangbi;recyclerutils
com.tunjid.mutator:coroutines-native;com.tunjid.mutator;coroutines-native
com.tunjid.mutator:core-native;com.tunjid.mutator;core-native
com.getbouncer:insights;com.getbouncer;insights
com.getbouncer:cardverify-web-wrapper;com.getbouncer;cardverify-web-wrapper
com.getbouncer:cardverify-ui;com.getbouncer;cardverify-ui
io.github.uinnn:interface-framework;io.github.uinnn;interface-framework
com.github.bgalek.utils:client-hints;com.github.bgalek.utils;client-hints
nl.bebr:lib-geotools;nl.bebr;lib-geotools
com.github.ivanovvlad9626:TestRail-core;com.github.ivanovvlad9626;TestRail-core
io.github.johnhungerford.rbac:scala-rbac-scalatra_2.13;io.github.johnhungerford.rbac;scala-rbac-scalatra_2.13
io.github.johnhungerford.rbac:scala-rbac-play_2.13;io.github.johnhungerford.rbac;scala-rbac-play_2.13
io.github.johnhungerford.rbac:scala-rbac-core_2.13;io.github.johnhungerford.rbac;scala-rbac-core_2.13
io.github.johnhungerford.rbac:scala-rbac-http_2.13;io.github.johnhungerford.rbac;scala-rbac-http_2.13
io.github.johnhungerford.rbac:scala-rbac-core_sjs1_2.13;io.github.johnhungerford.rbac;scala-rbac-core_sjs1_2.13
io.github.johnhungerford.rbac:scala-rbac-scalatra_2.12;io.github.johnhungerford.rbac;scala-rbac-scalatra_2.12
io.github.johnhungerford.rbac:scala-rbac-play_2.12;io.github.johnhungerford.rbac;scala-rbac-play_2.12
io.github.johnhungerford.rbac:scala-rbac-core_sjs1_2.12;io.github.johnhungerford.rbac;scala-rbac-core_sjs1_2.12
io.github.johnhungerford.rbac:scala-rbac-http_2.12;io.github.johnhungerford.rbac;scala-rbac-http_2.12
io.github.johnhungerford.rbac:scala-rbac-core_2.12;io.github.johnhungerford.rbac;scala-rbac-core_2.12
com.github.nfalco79:ext-credentials-binding;com.github.nfalco79;ext-credentials-binding
io.github.stas29a:feign-reactor-parent;io.github.stas29a;feign-reactor-parent
com.kinja:soy_2.11;com.kinja;soy_2.11
com.linkedin.dualip:dualip_2.11;com.linkedin.dualip;dualip_2.11
com.kinja:soy_2.12;com.kinja;soy_2.12
com.kinja:soy_2.13;com.kinja;soy_2.13
com.github.oshi:oshi-core-shaded;com.github.oshi;oshi-core-shaded
org.intermine:bio-source-flymine-static;org.intermine;bio-source-flymine-static
com.lendistry:key-sdk;com.lendistry;key-sdk
org.datapunch:remote-shuffle-service-client;org.datapunch;remote-shuffle-service-client
org.webjars.npm:types__webgl2;org.webjars.npm;types__webgl2
io.github.jeremyrsmith:parsel-ast_2.12;io.github.jeremyrsmith;parsel-ast_2.12
io.github.jeremyrsmith:parsel-ast_2.13;io.github.jeremyrsmith;parsel-ast_2.13
io.github.jeremyrsmith:parsel-ast_2.11;io.github.jeremyrsmith;parsel-ast_2.11
io.github.jeremyrsmith:parsel-parser_2.12;io.github.jeremyrsmith;parsel-parser_2.12
io.github.jeremyrsmith:parsel-parser_2.13;io.github.jeremyrsmith;parsel-parser_2.13
io.github.jeremyrsmith:parsel-quotes_2.11;io.github.jeremyrsmith;parsel-quotes_2.11
io.github.jeremyrsmith:parsel-parser_2.11;io.github.jeremyrsmith;parsel-parser_2.11
io.github.jeremyrsmith:parsel-quotes_2.13;io.github.jeremyrsmith;parsel-quotes_2.13
io.github.jeremyrsmith:parsel-quotes_2.12;io.github.jeremyrsmith;parsel-quotes_2.12
com.github.oshi:oshi-parent-java11;com.github.oshi;oshi-parent-java11
com.seamlesspay.api:Client;com.seamlesspay.api;Client
cn.dustlight.auth:auth-resource-server-reactive;cn.dustlight.auth;auth-resource-server-reactive
cn.dustlight.auth:auth-client-reactive;cn.dustlight.auth;auth-client-reactive
cn.dustlight.auth:auth-entities;cn.dustlight.auth;auth-entities
cn.dustlight.auth:auth-common;cn.dustlight.auth;auth-common
com.iminling:iminling-core;com.iminling;iminling-core
com.iminling:iminling-common;com.iminling;iminling-common
org.webjars.npm:github-com-chniter-bstreeview;org.webjars.npm;github-com-chniter-bstreeview
com.woaizhuangbi:initview;com.woaizhuangbi;initview
org.opoo.maven:tomcat9-maven-plugin;org.opoo.maven;tomcat9-maven-plugin
org.opoo.maven:tomcat9-war-runner;org.opoo.maven;tomcat9-war-runner
org.opoo.maven:common-tomcat-maven-plugin;org.opoo.maven;common-tomcat-maven-plugin
org.opoo.maven:tomcat-maven-plugin;org.opoo.maven;tomcat-maven-plugin
uk.num:punycode-java;uk.num;punycode-java
nl.psek.fitnesse:psek-fitnesse-fixtures-ldap;nl.psek.fitnesse;psek-fitnesse-fixtures-ldap
nl.psek.fitnesse:psek-fitnesse-fixtures-api;nl.psek.fitnesse;psek-fitnesse-fixtures-api
nl.psek.fitnesse:psek-fitnesse-fixtures-database;nl.psek.fitnesse;psek-fitnesse-fixtures-database
nl.psek.fitnesse:psek-fitnesse-fixtures-general;nl.psek.fitnesse;psek-fitnesse-fixtures-general
nl.psek.fitnesse:psek-fitnesse-fixtures-selenium;nl.psek.fitnesse;psek-fitnesse-fixtures-selenium
nl.psek.fitnesse:psek-fitnesse-fixtures-util;nl.psek.fitnesse;psek-fitnesse-fixtures-util
nl.psek.fitnesse:psek-fitnesse-fixtures;nl.psek.fitnesse;psek-fitnesse-fixtures
cn.t:media-util;cn.t;media-util
io.github.banfengcanyue:library-common;io.github.banfengcanyue;library-common
org.wso2.carbon.identity.carbon.auth.iwa:org.wso2.carbon.identity.authenticator.iwa.feature;org.wso2.carbon.identity.carbon.auth.iwa;org.wso2.carbon.identity.authenticator.iwa.feature
org.wso2.carbon.identity.carbon.auth.iwa:org.wso2.carbon.identity.authenticator.iwa.ui.feature;org.wso2.carbon.identity.carbon.auth.iwa;org.wso2.carbon.identity.authenticator.iwa.ui.feature
org.wso2.carbon.identity.carbon.auth.iwa:org.wso2.carbon.identity.authenticator.iwa.server.feature;org.wso2.carbon.identity.carbon.auth.iwa;org.wso2.carbon.identity.authenticator.iwa.server.feature
org.wso2.carbon.identity.carbon.auth.iwa:org.wso2.carbon.identity.authenticator.iwa.ui;org.wso2.carbon.identity.carbon.auth.iwa;org.wso2.carbon.identity.authenticator.iwa.ui
org.wso2.carbon.identity.carbon.auth.iwa:org.wso2.carbon.identity.authenticator.iwa.stub;org.wso2.carbon.identity.carbon.auth.iwa;org.wso2.carbon.identity.authenticator.iwa.stub
org.wso2.carbon.identity.carbon.auth.iwa:carbon-service-stubs;org.wso2.carbon.identity.carbon.auth.iwa;carbon-service-stubs
org.wso2.carbon.identity.carbon.auth.iwa:org.wso2.carbon.identity.authenticator.iwa;org.wso2.carbon.identity.carbon.auth.iwa;org.wso2.carbon.identity.authenticator.iwa
org.wso2.carbon.identity.carbon.auth.iwa:identity-carbon-auth-iwa;org.wso2.carbon.identity.carbon.auth.iwa;identity-carbon-auth-iwa
io.github.astrapi69:swing-layout-builders;io.github.astrapi69;swing-layout-builders
org.wso2.carbon.identity.carbon.auth.mutualssl:org.wso2.carbon.identity.authenticator.mutualssl.feature;org.wso2.carbon.identity.carbon.auth.mutualssl;org.wso2.carbon.identity.authenticator.mutualssl.feature
org.wso2.carbon.identity.carbon.auth.mutualssl:org.wso2.carbon.identity.authenticator.mutualssl;org.wso2.carbon.identity.carbon.auth.mutualssl;org.wso2.carbon.identity.authenticator.mutualssl
org.wso2.carbon.identity.carbon.auth.mutualssl:identity-carbon-auth-mutual-ssl;org.wso2.carbon.identity.carbon.auth.mutualssl;identity-carbon-auth-mutual-ssl
org.wso2.carbon.identity.application.authz.xacml:org.wso2.carbon.identity.application.authz.xacml.server.feature;org.wso2.carbon.identity.application.authz.xacml;org.wso2.carbon.identity.application.authz.xacml.server.feature
org.wso2.carbon.identity.outbound.auth.sts.passive:org.wso2.carbon.identity.application.authenticator.passive.sts.server.feature;org.wso2.carbon.identity.outbound.auth.sts.passive;org.wso2.carbon.identity.application.authenticator.passive.sts.server.feature
org.wso2.carbon.identity.outbound.auth.sts.passive:org.wso2.carbon.identity.application.authenticator.passive.sts;org.wso2.carbon.identity.outbound.auth.sts.passive;org.wso2.carbon.identity.application.authenticator.passive.sts
org.wso2.carbon.identity.outbound.auth.sts.passive:identity-application-auth-passive-sts;org.wso2.carbon.identity.outbound.auth.sts.passive;identity-application-auth-passive-sts
org.silentsoft:nullify;org.silentsoft;nullify
io.github.syex:flykaw;io.github.syex;flykaw
io.github.syex:flykaw-iosx64;io.github.syex;flykaw-iosx64
io.github.syex:flykaw-iossimulatorarm64;io.github.syex;flykaw-iossimulatorarm64
io.github.syex:flykaw-iosarm64;io.github.syex;flykaw-iosarm64
io.github.syex:flykaw-android;io.github.syex;flykaw-android
io.github.syex:flykaw-android-debug;io.github.syex;flykaw-android-debug
pub.doric.extension:svg;pub.doric.extension;svg
com.devonfw.cobigen:templates-devon4j;com.devonfw.cobigen;templates-devon4j
com.devonfw.cobigen:cobigen-maven-plugin;com.devonfw.cobigen;cobigen-maven-plugin
com.devonfw.cobigen:maven-test;com.devonfw.cobigen;maven-test
com.devonfw.cobigen:cli;com.devonfw.cobigen;cli
com.devonfw.cobigen:tempeng-freemarker;com.devonfw.cobigen;tempeng-freemarker
com.devonfw.cobigen:htmlplugin;com.devonfw.cobigen;htmlplugin
com.devonfw.cobigen:javaplugin-model;com.devonfw.cobigen;javaplugin-model
com.devonfw.cobigen:propertyplugin;com.devonfw.cobigen;propertyplugin
com.devonfw.cobigen:tempeng-velocity;com.devonfw.cobigen;tempeng-velocity
com.devonfw.cobigen:javaplugin;com.devonfw.cobigen;javaplugin
com.devonfw.cobigen:openapiplugin;com.devonfw.cobigen;openapiplugin
com.devonfw.cobigen:tsplugin;com.devonfw.cobigen;tsplugin
com.devonfw.cobigen:xmlplugin;com.devonfw.cobigen;xmlplugin
com.devonfw.cobigen:jsonplugin;com.devonfw.cobigen;jsonplugin
com.devonfw.cobigen:openapiplugin-model;com.devonfw.cobigen;openapiplugin-model
com.devonfw.cobigen:textmerger;com.devonfw.cobigen;textmerger
io.github.arjun20398:service-runtimes;io.github.arjun20398;service-runtimes
com.devonfw.cobigen:core;com.devonfw.cobigen;core
com.devonfw.cobigen:core-api;com.devonfw.cobigen;core-api
com.devonfw.cobigen:core-externalprocess-api;com.devonfw.cobigen;core-externalprocess-api
com.devonfw.cobigen:core-test;com.devonfw.cobigen;core-test
eu.0io:async-db_2.13;eu.0io;async-db_2.13
eu.0io:async-db_2.12;eu.0io;async-db_2.12
io.data2viz.d2v:viz-android;io.data2viz.d2v;viz-android
io.data2viz.d2v:viz-android-debug;io.data2viz.d2v;viz-android-debug
io.data2viz.d2v:timer-android;io.data2viz.d2v;timer-android
io.data2viz.d2v:timer-android-debug;io.data2viz.d2v;timer-android-debug
io.github.kolod:lib;io.github.kolod;lib
io.github.kolod:log4j-textarea-appender;io.github.kolod;log4j-textarea-appender
org.wso2.carbon.identity.outbound.auth.yahoo:org.wso2.carbon.identity.application.authenticator.yahoo.server.feature;org.wso2.carbon.identity.outbound.auth.yahoo;org.wso2.carbon.identity.application.authenticator.yahoo.server.feature
org.wso2.carbon.identity.outbound.auth.yahoo:org.wso2.carbon.identity.application.authenticator.yahoo;org.wso2.carbon.identity.outbound.auth.yahoo;org.wso2.carbon.identity.application.authenticator.yahoo
org.wso2.carbon.identity.outbound.auth.yahoo:identity-outbound-auth-yahoo;org.wso2.carbon.identity.outbound.auth.yahoo;identity-outbound-auth-yahoo
io.data2viz.d2v:force-android;io.data2viz.d2v;force-android
io.data2viz.d2v:force-android-debug;io.data2viz.d2v;force-android-debug
io.github.daoyixun:ipsmap-location;io.github.daoyixun;ipsmap-location
cloud.tianai.crypto:easy-crypto;cloud.tianai.crypto;easy-crypto
io.data2viz.d2v:axis-android;io.data2viz.d2v;axis-android
io.data2viz.d2v:axis-android-debug;io.data2viz.d2v;axis-android-debug
dev.applibgroup:statemanager;dev.applibgroup;statemanager
org.webjars.npm:graphql-language-service-parser;org.webjars.npm;graphql-language-service-parser
org.webjars.npm:graphql-language-service-types;org.webjars.npm;graphql-language-service-types
io.github.asdf101221:cc_cache;io.github.asdf101221;cc_cache
org.webjars.npm:graphql-sse;org.webjars.npm;graphql-sse
org.webjars.npm:codemirror__rangeset;org.webjars.npm;codemirror__rangeset
org.webjars.npm:source-map-support;org.webjars.npm;source-map-support
org.webjars.npm:codemirror__text;org.webjars.npm;codemirror__text
org.webjars.npm:codemirror__highlight;org.webjars.npm;codemirror__highlight
org.webjars.npm:n1ru4l__push-pull-async-iterable-iterator;org.webjars.npm;n1ru4l__push-pull-async-iterable-iterator
org.webjars.npm:graphql-config;org.webjars.npm;graphql-config
org.webjars.npm:string-env-interpolation;org.webjars.npm;string-env-interpolation
org.webjars.npm:iarna__toml;org.webjars.npm;iarna__toml
org.webjars.npm:value-or-promise;org.webjars.npm;value-or-promise
org.webjars.npm:codemirror__stream-parser;org.webjars.npm;codemirror__stream-parser
io.github.antonsjava:charmap;io.github.antonsjava;charmap
org.webjars.npm:graphql-tools__load;org.webjars.npm;graphql-tools__load
org.webjars.npm:graphql-tools__import;org.webjars.npm;graphql-tools__import
org.webjars.npm:graphql-tools__url-loader;org.webjars.npm;graphql-tools__url-loader
org.webjars.npm:graphql-language-service-utils;org.webjars.npm;graphql-language-service-utils
org.webjars.npm:graphql-language-service-interface;org.webjars.npm;graphql-language-service-interface
org.webjars.npm:sync-fetch;org.webjars.npm;sync-fetch
com.commercetools.payment:payone-adapter;com.commercetools.payment;payone-adapter
com.commercetools.payment:nopsp-adapter;com.commercetools.payment;nopsp-adapter
com.commercetools.payment:common;com.commercetools.payment;common
org.webjars.npm:extract-files;org.webjars.npm;extract-files
org.webjars.npm:cosmiconfig-toml-loader;org.webjars.npm;cosmiconfig-toml-loader
org.webjars.npm:n1ru4l__graphql-live-query;org.webjars.npm;n1ru4l__graphql-live-query
org.webjars.npm:endemolshinegroup__cosmiconfig-typescript-loader;org.webjars.npm;endemolshinegroup__cosmiconfig-typescript-loader
org.grapheco.pandadb:pandadb-net;org.grapheco.pandadb;pandadb-net
cn.deepbit:deepbit-dependency;cn.deepbit;deepbit-dependency
cn.deepbit:deepbit-start-mvc-mysql;cn.deepbit;deepbit-start-mvc-mysql
cn.deepbit:deepbit-start-mvc-oracle;cn.deepbit;deepbit-start-mvc-oracle
cn.deepbit:deepbit-sdk;cn.deepbit;deepbit-sdk
cn.deepbit:deepbit-start;cn.deepbit;deepbit-start
cn.deepbit:deepbit-start-mvc;cn.deepbit;deepbit-start-mvc
cn.deepbit:deepbit-start-mvc-jsp-mysql;cn.deepbit;deepbit-start-mvc-jsp-mysql
cn.deepbit:deepbit-start-mvc-jsp;cn.deepbit;deepbit-start-mvc-jsp
com.github.hongwen1993:fast-drools-spring-boot-starter;com.github.hongwen1993;fast-drools-spring-boot-starter
io.shulie.takin:plugin-engine-module;io.shulie.takin;plugin-engine-module
io.shulie.takin:plugin-engine_call-module;io.shulie.takin;plugin-engine_call-module
com.extollit.gaming:hydrazine-path-engine;com.extollit.gaming;hydrazine-path-engine
com.aliyun:aliyun-java-sdk-fc;com.aliyun;aliyun-java-sdk-fc
io.github.banfengcanyue:TestPublishLibrary;io.github.banfengcanyue;TestPublishLibrary
com.aliyun:aliyun-java-sdk-finance-rule;com.aliyun;aliyun-java-sdk-finance-rule
io.github.alitajs:alitaJsAndroid;io.github.alitajs;alitaJsAndroid
com.woaizhuangbi:conf-grd;com.woaizhuangbi;conf-grd
com.woaizhuangbi:conf-url;com.woaizhuangbi;conf-url
com.maximeroussy:invitrode;com.maximeroussy;invitrode
com.github.highras:rtc-android-audio;com.github.highras;rtc-android-audio
com.woaizhuangbi:conf-interface;com.woaizhuangbi;conf-interface
com.aliyun:umeng_finplus20211130;com.aliyun;umeng_finplus20211130
io.github.pluginloader:kscbor;io.github.pluginloader;kscbor
io.github.pluginloader:clearchat;io.github.pluginloader;clearchat
io.github.pluginloader:booster;io.github.pluginloader;booster
com.woaizhuangbi:viewinit;com.woaizhuangbi;viewinit
com.woaizhuangbi:showimgutils;com.woaizhuangbi;showimgutils
com.woaizhuangbi:httputils;com.woaizhuangbi;httputils
io.github.pluginloader:metadata;io.github.pluginloader;metadata
io.github.pluginloader:leveldb;io.github.pluginloader;leveldb
io.github.pluginloader:chat;io.github.pluginloader;chat
io.github.pluginloader:donate;io.github.pluginloader;donate
io.github.pluginloader:readablelong;io.github.pluginloader;readablelong
io.github.pluginloader:money;io.github.pluginloader;money
io.github.pluginloader:cuboid;io.github.pluginloader;cuboid
io.github.pluginloader:tower;io.github.pluginloader;tower
gg.pragma:jackson-datatype-protobuf;gg.pragma;jackson-datatype-protobuf
io.github.pluginloader:playerinfo;io.github.pluginloader;playerinfo
io.github.pluginloader:provide;io.github.pluginloader;provide
io.github.cloudchacho:hedwig-firehose-dataflow;io.github.cloudchacho;hedwig-firehose-dataflow
com.liferay:com.liferay.mobile.device.rules.web;com.liferay;com.liferay.mobile.device.rules.web
com.github.davidmoten:git-properties-maven-plugin;com.github.davidmoten;git-properties-maven-plugin
com.helger:jcodemodel;com.helger;jcodemodel
com.github.davidmoten:io-extras;com.github.davidmoten;io-extras
io.github.splitit:splitit-java-sdk;io.github.splitit;splitit-java-sdk
org.kin.sdk.android:viewmodel-tools;org.kin.sdk.android;viewmodel-tools
org.kin.sdk.android:spend;org.kin.sdk.android;spend
org.kin.sdk.android:design;org.kin.sdk.android;design
org.kin.sdk.android:base-viewmodel-impl;org.kin.sdk.android;base-viewmodel-impl
org.kin.sdk.android:base-viewmodel;org.kin.sdk.android;base-viewmodel
org.kin.sdk.android:base-storage;org.kin.sdk.android;base-storage
org.kin.sdk.android:base-compat-shaded;org.kin.sdk.android;base-compat-shaded
org.kin.sdk.android:base-compat;org.kin.sdk.android;base-compat
org.kin.sdk.android:base-shaded;org.kin.sdk.android;base-shaded
org.kin.sdk.android:base;org.kin.sdk.android;base
com.ibm.watson.developer_cloud:watson-spring-boot-starter;com.ibm.watson.developer_cloud;watson-spring-boot-starter
org.webjars.npm:depd;org.webjars.npm;depd
io.github.sergeivisotsky.metadata:metadata-provider-bom;io.github.sergeivisotsky.metadata;metadata-provider-bom
io.github.sergeivisotsky.metadata:metadata-selector;io.github.sergeivisotsky.metadata;metadata-selector
io.arrow-kt:arrow-stack-myPlatform;io.arrow-kt;arrow-stack-myPlatform
io.arrow-kt:arrow-optics-test-watchosX86;io.arrow-kt;arrow-optics-test-watchosX86
io.arrow-kt:arrow-optics-ksp-plugin-maven;io.arrow-kt;arrow-optics-ksp-plugin-maven
io.arrow-kt:arrow-optics-watchosX86;io.arrow-kt;arrow-optics-watchosX86
io.arrow-kt:arrow-fx-stm-watchosX86;io.arrow-kt;arrow-fx-stm-watchosX86
io.arrow-kt:arrow-fx-coroutines-test-watchosX86;io.arrow-kt;arrow-fx-coroutines-test-watchosX86
io.arrow-kt:arrow-fx-coroutines-watchosX86;io.arrow-kt;arrow-fx-coroutines-watchosX86
io.arrow-kt:arrow-core-test-watchosX86;io.arrow-kt;arrow-core-test-watchosX86
io.arrow-kt:arrow-core-retrofit-maven;io.arrow-kt;arrow-core-retrofit-maven
io.arrow-kt:arrow-core-watchosX86;io.arrow-kt;arrow-core-watchosX86
io.micronaut:micronaut-tracing;io.micronaut;micronaut-tracing
io.arrow-kt:arrow-continuations-watchosX86;io.arrow-kt;arrow-continuations-watchosX86
io.arrow-kt:arrow-annotations-watchosX86;io.arrow-kt;arrow-annotations-watchosX86
app.cash.inject:inflation-inject-processor;app.cash.inject;inflation-inject-processor
app.cash.inject:inflation-inject;app.cash.inject;inflation-inject
io.github.kamaravichow:loader;io.github.kamaravichow;loader
cz.jkozlovsky:scala-protobuf-field-extractor_2.12;cz.jkozlovsky;scala-protobuf-field-extractor_2.12
cz.jkozlovsky:scala-protobuf-field-extractor_2.13;cz.jkozlovsky;scala-protobuf-field-extractor_2.13
com.github.Zardozz:fixedheadertablelayout;com.github.Zardozz;fixedheadertablelayout
com.worldline.sips:payment-sdk-common;com.worldline.sips;payment-sdk-common
com.worldline.sips:payment-sdk;com.worldline.sips;payment-sdk
com.worldline.sips:sips-sdk-java;com.worldline.sips;sips-sdk-java
com.newpathfly:juneyao-public-api;com.newpathfly;juneyao-public-api
com.palantir.proxy.processor:proxy-processor;com.palantir.proxy.processor;proxy-processor
com.palantir.proxy.processor:proxy-annotations;com.palantir.proxy.processor;proxy-annotations
com.lihaoyi:scalatags_sjs0.6_2.11;com.lihaoyi;scalatags_sjs0.6_2.11
com.lihaoyi:scalatags_sjs0.6_2.12;com.lihaoyi;scalatags_sjs0.6_2.12
io.arrow-kt:arrow-optics-watchosX86;io.arrow-kt;arrow-optics-watchosX86
io.arrow-kt:arrow-fx-stm-watchosX86;io.arrow-kt;arrow-fx-stm-watchosX86
io.arrow-kt:arrow-fx-coroutines-test-watchosX86;io.arrow-kt;arrow-fx-coroutines-test-watchosX86
io.arrow-kt:arrow-fx-coroutines-watchosX86;io.arrow-kt;arrow-fx-coroutines-watchosX86
io.arrow-kt:arrow-core-test-watchosX86;io.arrow-kt;arrow-core-test-watchosX86
io.arrow-kt:arrow-core-retrofit-maven;io.arrow-kt;arrow-core-retrofit-maven
io.arrow-kt:arrow-core-watchosX86;io.arrow-kt;arrow-core-watchosX86
io.micronaut:micronaut-tracing;io.micronaut;micronaut-tracing
io.arrow-kt:arrow-continuations-watchosX86;io.arrow-kt;arrow-continuations-watchosX86
io.arrow-kt:arrow-annotations-watchosX86;io.arrow-kt;arrow-annotations-watchosX86
app.cash.inject:inflation-inject-processor;app.cash.inject;inflation-inject-processor
app.cash.inject:inflation-inject;app.cash.inject;inflation-inject
io.github.kamaravichow:loader;io.github.kamaravichow;loader
cz.jkozlovsky:scala-protobuf-field-extractor_2.12;cz.jkozlovsky;scala-protobuf-field-extractor_2.12
cz.jkozlovsky:scala-protobuf-field-extractor_2.13;cz.jkozlovsky;scala-protobuf-field-extractor_2.13
com.github.Zardozz:fixedheadertablelayout;com.github.Zardozz;fixedheadertablelayout
com.worldline.sips:payment-sdk-common;com.worldline.sips;payment-sdk-common
com.worldline.sips:payment-sdk;com.worldline.sips;payment-sdk
com.worldline.sips:sips-sdk-java;com.worldline.sips;sips-sdk-java
com.newpathfly:juneyao-public-api;com.newpathfly;juneyao-public-api
com.palantir.proxy.processor:proxy-processor;com.palantir.proxy.processor;proxy-processor
com.palantir.proxy.processor:proxy-annotations;com.palantir.proxy.processor;proxy-annotations
com.lihaoyi:scalatags_sjs0.6_2.11;com.lihaoyi;scalatags_sjs0.6_2.11
com.lihaoyi:scalatags_sjs0.6_2.12;com.lihaoyi;scalatags_sjs0.6_2.12
com.lihaoyi:scalatags_sjs0.6_2.13;com.lihaoyi;scalatags_sjs0.6_2.13
eu.lestard:doc-annotations;eu.lestard;doc-annotations
com.gitee.dushougudu:nebula-spring-boot-starter;com.gitee.dushougudu;nebula-spring-boot-starter
